Invoice ID,Branch,City,Customer type,Gender,Payment
504-35-8843,A,Yangon,Normal,Male,Cash
318-68-5053,B,Mandalay,Normal,Female,Cash
565-80-5980,C,Naypyitaw,Member,Female,Cash
225-32-0908,C,Naypyitaw,Normal,Female,Ewallet
873-51-0671,A,Yangon,Member,Female,Ewallet
152-08-9985,B,Mandalay,Member,Male,Credit card
512-91-0811,C,Naypyitaw,Normal,Male,Credit card
594-34-4444,A,Yangon,Normal,Male,Ewallet
766-85-7061,B,Mandalay,Normal,Male,Ewallet
871-39-9221,C,Naypyitaw,Normal,Female,Cash
865-92-6136,A,Yangon,Normal,Male,Ewallet
733-01-9107,B,Mandalay,Normal,Male,Cash
163-56-7055,C,Naypyitaw,Member,Male,Cash
189-98-2939,C,Naypyitaw,Normal,Male,Cash
551-21-3069,C,Naypyitaw,Normal,Female,Cash
212-62-1842,A,Yangon,Normal,Male,Cash
716-39-1409,B,Mandalay,Normal,Male,Cash
704-48-3927,A,Yangon,Member,Male,Ewallet
628-34-3388,C,Naypyitaw,Normal,Male,Credit card
630-74-5166,A,Yangon,Normal,Male,Cash
588-01-7461,C,Naypyitaw,Normal,Female,Cash
861-77-0145,C,Naypyitaw,Member,Male,Cash
479-26-8945,B,Mandalay,Member,Female,Ewallet
210-67-5886,C,Naypyitaw,Member,Female,Credit card
227-78-1148,B,Mandalay,Normal,Female,Cash
645-44-1170,A,Yangon,Member,Male,Ewallet
237-01-6122,C,Naypyitaw,Member,Female,Credit card
225-98-1496,C,Naypyitaw,Normal,Female,Credit card
291-32-1427,B,Mandalay,Member,Male,Ewallet
659-65-8956,B,Mandalay,Member,Male,Ewallet
642-32-2990,A,Yangon,Normal,Female,Ewallet
378-24-2715,B,Mandalay,Normal,Male,Ewallet
638-60-7125,A,Yangon,Normal,Female,Credit card
659-36-1684,C,Naypyitaw,Member,Male,Credit card
219-22-9386,B,Mandalay,Member,Male,Credit card
336-78-2147,C,Naypyitaw,Member,Male,Credit card
268-27-6179,B,Mandalay,Member,Female,Ewallet
668-90-8900,A,Yangon,Normal,Female,Credit card
870-54-3162,A,Yangon,Normal,Female,Cash
189-08-9157,C,Naypyitaw,Normal,Female,Credit card
663-86-9076,C,Naypyitaw,Member,Female,Ewallet
549-84-7482,B,Mandalay,Normal,Female,Ewallet
191-10-6171,B,Mandalay,Normal,Female,Cash
802-70-5316,A,Yangon,Member,Female,Cash
695-51-0018,B,Mandalay,Normal,Female,Cash
590-83-4591,B,Mandalay,Member,Male,Credit card
483-71-1164,C,Naypyitaw,Normal,Female,Ewallet
597-78-7908,C,Naypyitaw,Normal,Male,Cash
700-81-1757,A,Yangon,Normal,Female,Credit card
354-39-5160,A,Yangon,Member,Female,Cash
241-72-9525,B,Mandalay,Normal,Male,Cash
575-30-8091,A,Yangon,Normal,Male,Ewallet
731-81-9469,C,Naypyitaw,Member,Female,Credit card
280-17-4359,C,Naypyitaw,Member,Male,Cash
338-65-2210,C,Naypyitaw,Member,Female,Cash
488-25-4221,C,Naypyitaw,Member,Female,Credit card
239-10-7476,A,Yangon,Normal,Female,Ewallet
458-41-1477,C,Naypyitaw,Normal,Female,Credit card
685-64-1609,A,Yangon,Member,Female,Ewallet
568-90-5112,C,Naypyitaw,Normal,Male,Credit card
262-47-2794,B,Mandalay,Member,Male,Credit card
238-49-0436,A,Yangon,Normal,Male,Credit card
608-96-3517,B,Mandalay,Member,Female,Credit card
584-86-7256,C,Naypyitaw,Member,Male,Credit card
746-94-0204,A,Yangon,Normal,Male,Credit card
214-17-6927,C,Naypyitaw,Normal,Female,Ewallet
400-89-4171,C,Naypyitaw,Normal,Female,Cash
782-95-9291,A,Yangon,Member,Male,Credit card
279-74-2924,B,Mandalay,Member,Male,Cash
307-85-2293,B,Mandalay,Normal,Male,Ewallet
743-04-1105,B,Mandalay,Member,Male,Ewallet
423-57-2993,B,Mandalay,Normal,Male,Ewallet
894-41-5205,C,Naypyitaw,Normal,Female,Credit card
275-28-0149,A,Yangon,Normal,Male,Cash
101-17-6199,A,Yangon,Normal,Male,Credit card
423-80-0988,C,Naypyitaw,Normal,Male,Ewallet
548-46-9322,B,Mandalay,Normal,Male,Credit card
505-02-0892,B,Mandalay,Member,Male,Ewallet
234-65-2137,C,Naypyitaw,Normal,Male,Cash
687-47-8271,A,Yangon,Normal,Male,Credit card
796-32-9050,A,Yangon,Normal,Male,Cash
105-31-1824,A,Yangon,Member,Male,Credit card
249-42-3782,A,Yangon,Normal,Male,Ewallet
316-55-4634,B,Mandalay,Member,Male,Credit card
733-33-4967,C,Naypyitaw,Normal,Male,Cash
608-27-6295,B,Mandalay,Member,Male,Credit card
414-12-7047,B,Mandalay,Normal,Male,Ewallet
827-26-2100,A,Yangon,Member,Male,Ewallet
175-54-2529,A,Yangon,Member,Male,Credit card
139-52-2867,C,Naypyitaw,Normal,Female,Credit card
407-63-8975,A,Yangon,Normal,Male,Ewallet
342-65-4817,C,Naypyitaw,Member,Male,Ewallet
130-98-8941,C,Naypyitaw,Normal,Male,Cash
434-83-9547,C,Naypyitaw,Member,Male,Cash
851-28-6367,A,Yangon,Member,Male,Ewallet
824-88-3614,C,Naypyitaw,Normal,Male,Ewallet
586-25-0848,A,Yangon,Normal,Female,Credit card
895-66-0685,B,Mandalay,Member,Male,Ewallet
305-14-0245,B,Mandalay,Member,Female,Ewallet
732-04-5373,B,Mandalay,Member,Male,Cash
400-60-7251,A,Yangon,Normal,Male,Ewallet
593-65-1552,C,Naypyitaw,Normal,Female,Credit card
284-34-9626,B,Mandalay,Normal,Female,Credit card
437-58-8131,B,Mandalay,Normal,Female,Ewallet
286-43-6208,C,Naypyitaw,Normal,Female,Cash
641-43-2399,B,Mandalay,Normal,Male,Ewallet
831-07-6050,A,Yangon,Normal,Male,Credit card
556-86-3144,C,Naypyitaw,Member,Female,Cash
848-24-9445,C,Naypyitaw,Member,Male,Cash
856-22-8149,A,Yangon,Normal,Female,Ewallet
699-01-4164,C,Naypyitaw,Normal,Male,Credit card
420-11-4919,C,Naypyitaw,Member,Female,Credit card
606-80-4905,C,Naypyitaw,Member,Female,Credit card
542-41-0513,B,Mandalay,Member,Female,Cash
426-39-2418,C,Naypyitaw,Normal,Male,Cash
875-46-5808,B,Mandalay,Member,Male,Ewallet
394-43-4238,B,Mandalay,Member,Male,Credit card
749-24-1565,A,Yangon,Normal,Female,Ewallet
672-51-8681,C,Naypyitaw,Member,Female,Credit card
263-87-5680,C,Naypyitaw,Member,Female,Ewallet
573-58-9734,B,Mandalay,Normal,Female,Ewallet
817-69-8206,B,Mandalay,Normal,Female,Credit card
888-02-0338,A,Yangon,Normal,Male,Ewallet
677-11-0152,C,Naypyitaw,Normal,Female,Cash
142-63-6033,B,Mandalay,Normal,Male,Ewallet
656-16-1063,B,Mandalay,Normal,Male,Credit card
891-58-8335,B,Mandalay,Member,Female,Cash
802-43-8934,A,Yangon,Normal,Male,Credit card
560-30-5617,B,Mandalay,Normal,Female,Cash
319-74-2561,A,Yangon,Member,Female,Cash
549-03-9315,B,Mandalay,Normal,Male,Ewallet
790-29-1172,B,Mandalay,Normal,Female,Credit card
239-36-3640,B,Mandalay,Normal,Male,Ewallet
468-01-2051,B,Mandalay,Normal,Male,Ewallet
389-25-3394,C,Naypyitaw,Normal,Male,Cash
279-62-1445,C,Naypyitaw,Member,Female,Cash
213-72-6612,A,Yangon,Normal,Male,Cash
746-68-6593,C,Naypyitaw,Member,Female,Credit card
836-82-5858,B,Mandalay,Member,Male,Ewallet
583-72-1480,C,Naypyitaw,Member,Male,Ewallet
466-61-5506,B,Mandalay,Member,Female,Cash
721-86-6247,A,Yangon,Normal,Female,Ewallet
289-65-5721,B,Mandalay,Normal,Female,Cash
545-46-3100,B,Mandalay,Member,Female,Credit card
418-02-5978,B,Mandalay,Normal,Female,Cash
269-04-5750,B,Mandalay,Member,Male,Cash
157-13-5295,A,Yangon,Member,Male,Ewallet
645-78-8093,A,Yangon,Normal,Female,Ewallet
211-30-9270,C,Naypyitaw,Normal,Male,Credit card
755-12-3214,C,Naypyitaw,Member,Female,Credit card
346-84-3103,B,Mandalay,Member,Female,Cash
478-06-7835,A,Yangon,Normal,Male,Ewallet
540-11-4336,A,Yangon,Normal,Male,Credit card
448-81-5016,A,Yangon,Normal,Male,Credit card
142-72-4741,C,Naypyitaw,Member,Male,Credit card
217-58-1179,A,Yangon,Member,Male,Cash
376-02-8238,B,Mandalay,Normal,Male,Credit card
530-90-9855,A,Yangon,Member,Male,Cash
866-05-7563,B,Mandalay,Member,Female,Cash
604-70-6476,A,Yangon,Member,Male,Ewallet
799-71-1548,A,Yangon,Member,Male,Credit card
785-13-7708,B,Mandalay,Normal,Male,Credit card
845-51-0542,B,Mandalay,Member,Male,Ewallet
662-47-5456,C,Naypyitaw,Member,Male,Credit card
883-17-4236,C,Naypyitaw,Normal,Female,Credit card
290-68-2984,A,Yangon,Normal,Male,Cash
704-11-6354,A,Yangon,Member,Male,Cash
110-48-7033,B,Mandalay,Member,Male,Cash
366-93-0948,A,Yangon,Member,Male,Credit card
729-09-9681,A,Yangon,Member,Male,Ewallet
151-16-1484,A,Yangon,Member,Male,Ewallet
380-94-4661,C,Naypyitaw,Member,Male,Credit card
850-41-9669,A,Yangon,Normal,Female,Ewallet
821-07-3596,C,Naypyitaw,Normal,Female,Ewallet
655-85-5130,B,Mandalay,Member,Female,Cash
447-15-7839,A,Yangon,Member,Female,Cash
154-74-7179,B,Mandalay,Normal,Male,Ewallet
253-12-6086,A,Yangon,Member,Female,Credit card
808-65-0703,C,Naypyitaw,Normal,Male,Credit card
571-94-0759,B,Mandalay,Member,Female,Cash
144-51-6085,A,Yangon,Member,Male,Credit card
731-14-2199,A,Yangon,Member,Female,Ewallet
783-09-1637,B,Mandalay,Normal,Female,Ewallet
687-15-1097,C,Naypyitaw,Member,Female,Cash
126-54-1082,A,Yangon,Member,Female,Credit card
633-91-1052,A,Yangon,Normal,Female,Cash
477-24-6490,B,Mandalay,Normal,Female,Ewallet
566-19-5475,B,Mandalay,Normal,Male,Cash
526-86-8552,C,Naypyitaw,Member,Female,Cash
376-56-3573,C,Naypyitaw,Normal,Female,Ewallet
537-72-0426,C,Naypyitaw,Member,Male,Cash
828-61-5674,A,Yangon,Member,Male,Credit card
136-08-6195,A,Yangon,Normal,Female,Credit card
523-38-0215,C,Naypyitaw,Normal,Male,Credit card
490-29-1201,A,Yangon,Normal,Female,Cash
667-92-0055,A,Yangon,Member,Male,Ewallet
565-17-3836,A,Yangon,Member,Female,Cash
498-41-1961,B,Mandalay,Normal,Male,Cash
593-95-4461,C,Naypyitaw,Member,Male,Cash
226-71-3580,C,Naypyitaw,Normal,Female,Cash
283-79-9594,B,Mandalay,Normal,Female,Credit card
430-60-3493,A,Yangon,Member,Female,Cash
139-20-0155,B,Mandalay,Member,Male,Credit card
558-80-4082,C,Naypyitaw,Normal,Male,Ewallet
278-97-7759,A,Yangon,Member,Female,Cash
316-68-6352,A,Yangon,Member,Female,Cash
585-03-5943,B,Mandalay,Normal,Male,Ewallet
211-05-0490,C,Naypyitaw,Member,Female,Cash
727-75-6477,C,Naypyitaw,Normal,Male,Cash
744-02-5987,A,Yangon,Member,Male,Ewallet
307-83-9164,A,Yangon,Member,Male,Cash
779-06-0012,C,Naypyitaw,Member,Female,Cash
446-47-6729,C,Naypyitaw,Normal,Male,Credit card
573-10-3877,B,Mandalay,Member,Male,Credit card
735-06-4124,C,Naypyitaw,Normal,Male,Cash
439-54-7422,A,Yangon,Normal,Female,Credit card
396-90-2219,B,Mandalay,Normal,Female,Cash
411-77-0180,A,Yangon,Member,Male,Ewallet
286-01-5402,A,Yangon,Normal,Female,Cash
803-17-8013,A,Yangon,Member,Female,Cash
512-98-1403,A,Yangon,Member,Female,Ewallet
848-42-2560,A,Yangon,Normal,Female,Cash
532-59-7201,B,Mandalay,Member,Male,Cash
181-94-6432,C,Naypyitaw,Member,Male,Ewallet
870-76-1733,A,Yangon,Member,Female,Credit card
423-64-4619,A,Yangon,Member,Female,Cash
227-07-4446,C,Naypyitaw,Member,Female,Cash
174-36-3675,C,Naypyitaw,Member,Male,Cash
428-83-5800,C,Naypyitaw,Member,Female,Cash
603-07-0961,C,Naypyitaw,Member,Male,Cash
704-20-4138,C,Naypyitaw,Member,Female,Credit card
787-15-1757,C,Naypyitaw,Member,Male,Ewallet
649-11-3678,C,Naypyitaw,Normal,Female,Cash
622-20-1945,C,Naypyitaw,Normal,Female,Cash
372-94-8041,A,Yangon,Normal,Male,Ewallet
563-91-7120,A,Yangon,Normal,Female,Cash
746-54-5508,A,Yangon,Normal,Male,Credit card
276-54-0879,B,Mandalay,Normal,Male,Ewallet
815-11-1168,A,Yangon,Member,Male,Cash
719-76-3868,C,Naypyitaw,Member,Male,Cash
730-61-8757,B,Mandalay,Member,Male,Credit card
340-66-0321,A,Yangon,Member,Male,Cash
868-81-1752,B,Mandalay,Normal,Male,Cash
634-97-8956,A,Yangon,Normal,Male,Credit card
566-71-1091,A,Yangon,Normal,Male,Cash
442-48-3607,A,Yangon,Member,Male,Credit card
835-16-0096,C,Naypyitaw,Member,Male,Ewallet
527-09-6272,A,Yangon,Member,Female,Credit card
898-04-2717,A,Yangon,Normal,Male,Ewallet
692-27-8933,B,Mandalay,Normal,Female,Cash
633-09-3463,C,Naypyitaw,Normal,Female,Credit card
374-17-3652,B,Mandalay,Member,Female,Credit card
378-07-7001,B,Mandalay,Member,Male,Credit card
433-75-6987,B,Mandalay,Member,Female,Ewallet
873-95-4984,B,Mandalay,Member,Female,Cash
416-13-5917,C,Naypyitaw,Normal,Female,Ewallet
150-89-8043,A,Yangon,Normal,Male,Cash
135-84-8019,A,Yangon,Normal,Female,Ewallet
441-94-7118,A,Yangon,Member,Male,Cash
725-96-3778,C,Naypyitaw,Member,Female,Cash
531-80-1784,A,Yangon,Normal,Male,Cash
400-45-1220,B,Mandalay,Normal,Female,Credit card
860-79-0874,C,Naypyitaw,Member,Female,Credit card
834-61-8124,A,Yangon,Normal,Male,Cash
115-99-4379,B,Mandalay,Member,Female,Credit card
565-67-6697,B,Mandalay,Member,Male,Cash
320-49-6392,C,Naypyitaw,Normal,Female,Cash
889-04-9723,B,Mandalay,Member,Female,Credit card
632-90-0281,C,Naypyitaw,Normal,Female,Credit card
554-42-2417,C,Naypyitaw,Normal,Female,Cash
453-63-6187,B,Mandalay,Normal,Male,Ewallet
578-80-7669,B,Mandalay,Normal,Male,Cash
612-36-5536,A,Yangon,Member,Male,Credit card
605-72-4132,C,Naypyitaw,Normal,Female,Cash
471-41-2823,C,Naypyitaw,Normal,Male,Ewallet
462-67-9126,A,Yangon,Normal,Male,Cash
272-27-9238,C,Naypyitaw,Normal,Female,Cash
834-25-9262,C,Naypyitaw,Normal,Female,Cash
122-61-9553,C,Naypyitaw,Normal,Female,Cash
468-88-0009,A,Yangon,Member,Male,Cash
613-59-9758,C,Naypyitaw,Normal,Female,Cash
254-31-0042,A,Yangon,Member,Male,Credit card
201-86-2184,B,Mandalay,Member,Female,Cash
261-12-8671,B,Mandalay,Normal,Female,Credit card
730-70-9830,C,Naypyitaw,Normal,Female,Ewallet
382-25-8917,C,Naypyitaw,Normal,Male,Cash
422-29-8786,A,Yangon,Normal,Female,Credit card
667-23-5919,A,Yangon,Member,Female,Ewallet
843-01-4703,B,Mandalay,Member,Female,Credit card
743-88-1662,C,Naypyitaw,Normal,Male,Ewallet
595-86-2894,C,Naypyitaw,Member,Male,Ewallet
182-69-8360,B,Mandalay,Normal,Female,Credit card
289-15-7034,A,Yangon,Member,Male,Credit card
462-78-5240,C,Naypyitaw,Normal,Female,Cash
868-52-7573,B,Mandalay,Normal,Female,Cash
153-58-4872,C,Naypyitaw,Member,Female,Ewallet
662-72-2873,A,Yangon,Normal,Female,Ewallet
525-88-7307,B,Mandalay,Member,Male,Cash
689-16-9784,C,Naypyitaw,Normal,Male,Cash
725-56-0833,A,Yangon,Normal,Female,Credit card
394-41-0748,C,Naypyitaw,Member,Female,Ewallet
596-42-3999,B,Mandalay,Normal,Male,Credit card
541-89-9860,C,Naypyitaw,Member,Female,Cash
173-82-9529,B,Mandalay,Normal,Female,Cash
563-36-9814,A,Yangon,Member,Male,Ewallet
308-47-4913,A,Yangon,Member,Female,Credit card
885-17-6250,A,Yangon,Normal,Female,Ewallet
726-27-2396,A,Yangon,Normal,Female,Ewallet
316-01-3952,A,Yangon,Normal,Female,Ewallet
760-54-1821,B,Mandalay,Normal,Male,Cash
793-10-3222,B,Mandalay,Member,Female,Credit card
346-12-3257,B,Mandalay,Member,Male,Cash
110-05-6330,C,Naypyitaw,Normal,Female,Credit card
651-61-0874,C,Naypyitaw,Normal,Male,Credit card
236-86-3015,C,Naypyitaw,Member,Male,Ewallet
831-64-0259,B,Mandalay,Normal,Female,Ewallet
587-03-7455,C,Naypyitaw,Member,Female,Ewallet
882-40-4577,A,Yangon,Member,Male,Credit card
732-67-5346,A,Yangon,Normal,Male,Credit card
725-32-9708,B,Mandalay,Member,Female,Cash
256-08-8343,A,Yangon,Normal,Female,Ewallet
372-26-1506,C,Naypyitaw,Normal,Female,Ewallet
244-08-0162,B,Mandalay,Normal,Female,Cash
569-71-4390,B,Mandalay,Normal,Male,Ewallet
132-23-6451,A,Yangon,Member,Male,Cash
696-90-2548,A,Yangon,Normal,Male,Ewallet
472-15-9636,A,Yangon,Normal,Male,Ewallet
268-03-6164,B,Mandalay,Normal,Male,Ewallet
750-57-9686,C,Naypyitaw,Normal,Female,Credit card
186-09-3669,C,Naypyitaw,Member,Female,Ewallet
848-07-1692,B,Mandalay,Normal,Female,Ewallet
745-71-3520,A,Yangon,Member,Female,Cash
266-76-6436,C,Naypyitaw,Member,Female,Ewallet
740-22-2500,C,Naypyitaw,Normal,Female,Cash
271-88-8734,C,Naypyitaw,Member,Female,Credit card
301-81-8610,B,Mandalay,Member,Male,Credit card
489-64-4354,C,Naypyitaw,Normal,Male,Cash
198-84-7132,B,Mandalay,Member,Male,Cash
269-10-8440,A,Yangon,Member,Male,Cash
650-98-6268,B,Mandalay,Member,Female,Credit card
741-73-3559,B,Mandalay,Normal,Male,Cash
325-77-6186,A,Yangon,Member,Female,Ewallet
286-75-7818,B,Mandalay,Normal,Male,Credit card
574-57-9721,C,Naypyitaw,Normal,Male,Ewallet
459-50-7686,A,Yangon,Normal,Female,Ewallet
616-87-0016,B,Mandalay,Normal,Male,Credit card
837-55-7229,B,Mandalay,Normal,Female,Credit card
751-69-0068,C,Naypyitaw,Normal,Male,Ewallet
257-73-1380,C,Naypyitaw,Member,Male,Ewallet
345-08-4992,A,Yangon,Normal,Male,Credit card
549-96-4200,C,Naypyitaw,Member,Male,Ewallet
810-60-6344,C,Naypyitaw,Normal,Female,Credit card
450-28-2866,C,Naypyitaw,Member,Male,Cash
394-30-3170,B,Mandalay,Member,Female,Credit card
138-17-5109,A,Yangon,Member,Female,Credit card
192-98-7397,C,Naypyitaw,Normal,Male,Ewallet
301-11-9629,A,Yangon,Normal,Female,Cash
390-80-5128,B,Mandalay,Member,Female,Credit card
235-46-8343,C,Naypyitaw,Member,Male,Credit card
453-12-7053,C,Naypyitaw,Normal,Male,Credit card
296-11-7041,B,Mandalay,Member,Female,Credit card
449-27-2918,B,Mandalay,Member,Female,Credit card
891-01-7034,B,Mandalay,Normal,Female,Cash
744-09-5786,B,Mandalay,Normal,Male,Cash
727-17-0390,A,Yangon,Normal,Female,Ewallet
568-88-3448,A,Yangon,Normal,Male,Ewallet
187-83-5490,A,Yangon,Member,Male,Cash
767-54-1907,B,Mandalay,Member,Female,Cash
710-46-4433,B,Mandalay,Member,Female,Credit card
533-33-5337,B,Mandalay,Normal,Male,Cash
325-90-8763,C,Naypyitaw,Member,Female,Cash
729-46-7422,C,Naypyitaw,Normal,Male,Credit card
639-76-1242,C,Naypyitaw,Normal,Male,Cash
234-03-4040,B,Mandalay,Member,Female,Credit card
326-71-2155,C,Naypyitaw,Normal,Female,Cash
320-32-8842,C,Naypyitaw,Member,Female,Cash
470-32-9057,A,Yangon,Member,Male,Credit card
878-30-2331,C,Naypyitaw,Member,Female,Credit card
440-59-5691,C,Naypyitaw,Member,Female,Credit card
554-53-3790,B,Mandalay,Normal,Male,Cash
746-19-0921,C,Naypyitaw,Normal,Male,Ewallet
233-34-0817,C,Naypyitaw,Member,Female,Cash
767-05-1286,C,Naypyitaw,Member,Female,Ewallet
340-21-9136,A,Yangon,Member,Female,Cash
405-31-3305,A,Yangon,Member,Male,Credit card
731-59-7531,B,Mandalay,Member,Male,Cash
676-39-6028,A,Yangon,Member,Female,Cash
502-05-1910,A,Yangon,Normal,Male,Credit card
485-30-8700,A,Yangon,Normal,Female,Credit card
598-47-9715,C,Naypyitaw,Normal,Male,Ewallet
701-69-8742,B,Mandalay,Normal,Male,Ewallet
575-67-1508,A,Yangon,Normal,Male,Ewallet
541-08-3113,C,Naypyitaw,Normal,Male,Cash
246-11-3901,C,Naypyitaw,Normal,Female,Cash
674-15-9296,A,Yangon,Normal,Male,Ewallet
305-18-3552,B,Mandalay,Member,Male,Cash
493-65-6248,C,Naypyitaw,Member,Female,Credit card
438-01-4015,B,Mandalay,Member,Female,Ewallet
709-58-4068,B,Mandalay,Normal,Female,Cash
795-49-7276,A,Yangon,Normal,Male,Ewallet
556-72-8512,C,Naypyitaw,Normal,Male,Cash
627-95-3243,B,Mandalay,Member,Female,Ewallet
686-41-0932,B,Mandalay,Normal,Female,Ewallet
510-09-5628,A,Yangon,Member,Female,Credit card
608-04-3797,B,Mandalay,Member,Female,Ewallet
148-82-2527,C,Naypyitaw,Member,Female,Credit card
437-53-3084,B,Mandalay,Normal,Male,Ewallet
632-32-4574,B,Mandalay,Normal,Male,Cash
556-97-7101,C,Naypyitaw,Normal,Female,Cash
862-59-8517,C,Naypyitaw,Normal,Female,Cash
401-18-8016,B,Mandalay,Member,Female,Cash
420-18-8989,A,Yangon,Member,Female,Cash
277-63-2961,B,Mandalay,Member,Male,Credit card
573-98-8548,C,Naypyitaw,Member,Female,Ewallet
620-02-2046,C,Naypyitaw,Normal,Male,Ewallet
282-35-2475,B,Mandalay,Normal,Female,Cash
511-54-3087,B,Mandalay,Normal,Male,Credit card
726-29-6793,A,Yangon,Member,Male,Ewallet
387-49-4215,B,Mandalay,Member,Female,Cash
862-17-9201,B,Mandalay,Normal,Female,Credit card
291-21-5991,B,Mandalay,Member,Male,Cash
602-80-9671,C,Naypyitaw,Member,Female,Credit card
347-72-6115,B,Mandalay,Member,Female,Credit card
209-61-0206,A,Yangon,Normal,Female,Ewallet
595-27-4851,A,Yangon,Normal,Female,Ewallet
189-52-0236,A,Yangon,Normal,Male,Cash
503-07-0930,C,Naypyitaw,Member,Male,Credit card
413-20-6708,C,Naypyitaw,Member,Female,Ewallet
425-85-2085,B,Mandalay,Member,Male,Ewallet
521-18-7827,C,Naypyitaw,Member,Male,Credit card
220-28-1851,A,Yangon,Normal,Male,Ewallet
